Brand,Model (Markings),Capacity (mAh),Discharge A (Max),Charging A (Max),Chemistry,Color (Wrap),Color (Ring),Image,Data Sheet,Data Sheet (Backup),Web,Notes
"Sanyo"/Panasonic,NCR18650BL,3350 (2.5V),7,1.62,NCA (LiNiCoAlO2),Red,Black,,Data Sheet,Data Sheet Backup,,
YikLik (YLE),INR18650A220,2200 (3V),2.2 (6.6 Pulse),1.1 (2.2),INR / NMC (LiNiMnCoO2),Red,Black,,Data Sheet,Data Sheet Backup,YikLik Product Page,
LG,LGDBHE21865 / ICR18650HE2 /  IMR18650HE2,2500 (2.5V),10 (20),1.25 (4),INR / NMC (LiNiMnCoO2),Red,White,,Data Sheet,Data Sheet Backup,lygte-info.dk,
Sanyo/Panasonic,UR18650A,2250 (2.75V),2.15 (4.3),1.5,INR / NMC (LiNiMnCoO2),Red,White,,Data Sheet,Data Sheet Backup,,
,,,,,,Red,Blue,,,,,
,,,,,,Red,Purple,,,,,Possible alternative appearance. Needs verification.
Sanyo/Panasonic,UR18650W2,1500 (2.75V),10 (15),0.7 (1.6),?,Red,Pink,,Data Sheet,Data Sheet Backup,,
Sanyo/Panasonic,NCR18650BF,3350 (2.5V),3.2 (? 6.7),1.625,NCA (LiNiCoAlO2),Red,Brown,,Data Sheet,Data Sheet Backup,NCR18650B vs. NCR18650BF,
Sanyo,? UR18650SA (KLGA18 / 087 L01A),? 1250 (2.5V),? 10,? 0.84,?,Red,Brown,,Data Sheet,Data Sheet Backup,,not a NCR18650BF
Sanyo/Panasonic,UR18650FJ,2200 (2.75V),2.1 (4.2),1.5 (2.1),?,Red,Orange,,Data Sheet,Data Sheet Backup,,Datasheet is for UR18650F
Sanyo/Panasonic,UR18650S,1100 (2.75V),2.2 (10),0.77,?,Red,Orange,,Data Sheet,Data Sheet Backup,,
Sanyo/Panasonic,UR18650NSX,2600 (2.5V),20,1.75,,Red,Yellow,,Data Sheet,Data Sheet Backup,lygte-info.dk,
Sanyo/Panasonic,UR18650Y,2000 (2.75V),1 (4),1.33 (2),INR / NMC (LiNiMnCoO2),Red,Green / Apple,,Data Sheet,Data Sheet Backup,,
Sanyo/Panasonic,UR18650FK,2400 (2.5V),4.6,2.3,ICR / LCO (LiCoO2),Red,Green / Blue,,Data Sheet,Data Sheet Backup,,Datasheet is for UR18650F
Sanyo/Panasonic,UR18650FM,2600 (2.75V),5,1.75,ICR / LCO (LiCoO2),Red,Cyan / Sky Blue,,Data Sheet,Data Sheet Backup,lygte-info.dk,Datasheet is for UR18650F
Sanyo/Panasonic,UR18650WX,1500 (2.5V),10 (25),1.05,?,Red,Cyan Blue,,Data Sheet,Data Sheet Backup,,
,,,,,,Red,Green,,,,,
Sanyo/Panasonic,NCR18650GA,3500 (2.5V),10,1.675,NCA (LiNiCoAlO2),Red,Blue,,Data Sheet,Data Sheet Backup,lygte-info.dk,
Sanyo/Panasonic,UR18650RX,2000,22,1.37,IMR / LMO (LiMn2O4),Red,Blue,,Data Sheet,Data Sheet Backup,,
Sanyo/Panasonic,UR18650E,2000,10,1.44 (2.05),INR / NMC (LiNiMnCoO2),Red,Slate/Purple,,Data Sheet,Data Sheet Backup,,
Sanyo/Panasonic,UR18650ZY,2600 (2.75V),2.6 (5),1.75,ICR / LCO (LiCoO2),Red,Purple (Light),,Data Sheet,Data Sheet Backup,lygte-info.dk,3.7V nominal
Sanyo/Panasonic,UR18650ZL2,2310 (2.5V),"10 (The cell temperature must
not exceed 65℃.)",1.155,,Red,White,,Data Sheet,Data Sheet Backup,lygte-info.dk,
LG,LGDBHG21865/ INR18650HG2 / INR18650-HG2,3000 (2.5V),10 (20),1.5 (4),INR / NMC (LiNiMnCoO2),Brown,White,,Data Sheet,Data Sheet Backup,BatteryBro Review,
Sanyo/Panasonic,UR18650ZT / R1122,2800 (2.75),?,1.9,?,Orange,Purple,,Data Sheet,Data Sheet Backup,lygte-info.dk,Charges to 4.3V
Panasonic,CGR18650HG,1800 (3V),1.8 (3.4),1.19,?,Orange,Black,,Data Sheet,Data Sheet Backup,,Fakes have capacity value on the wrapper and often a button top
LG,LGABC21865/ ICR18650C2,2800 (3V),5.4,2.7,ICR / LCO (LiCoO2),Orange,White,,Data Sheet,Data Sheet Backup,lygte-info Test results,Charges to 4.3V
