Brand,Model,Capacity (mAh),"Current A (continuous, datasheet)","Current A (continuous, suggested/tested)",Watt hours (theoretical),Price (Euro - nkon.nl),Wh/€,"Price, max. Wholesale Discount(Euro, nkon.nl)",Wholesale Qty,Wh/€ Wholesale,max. Weight in g (Datasheet),Weight per 1000Wh,Number of cells per 1000Wh,Notes
LG,ICR18650-S3,2200,3,,7.92,,#DIV/0!,,,#DIV/0!,47.0,5.93 Kg,126,
LG,ICR18650-MF1,2150,10,,7.85,€2.25,3.49,€1.70,600,4.62,44.0,5.61 Kg,127,
BG,INR18650-26R,2600,12.5,,9.62,€1.89,5.09,€1.49,720,6.46,50.0,5.20 Kg,104,weight unknown
Samsung,INR18650-29E,2900,3,10,10.50,€2.50,4.20,€2.00,600,5.25,45.0,4.29 Kg,95,
Samsung,INR21700-50E,4900,9.8,,17.64,€5.45,3.24,€3.99,260,4.42,69.0,3.91 Kg,,21700 Cell
LG,INR18650-M26,2600,10,,9.49,€2.25,4.22,€1.80,600,5.27,44.0,4.64 Kg,105,
LG,INR18650-M29,2850,6,,10.46,€2.45,4.27,€1.90,600,5.51,45.0,4.30 Kg,96,
Sony,US18650V3,2250,10,,8.33,€2.60,3.20,€1.90,600,4.38,44.0,5.28 Kg,120,
Samsung,INR18650-13P,1300,18,15,4.68,€0.69,6.78,€0.59,600,7.93,42.0,8.97 Kg,214,
Samsung,ICR18650-22P,2200,10,,7.96,€2.45,3.25,€1.70,600,4.68,44.5,5.59 Kg,126,
Samsung,ICR18650-26J,2600,5.2,7,9.44,€2.75,3.43,€1.77,600,5.33,45.0,4.77 Kg,106,
Panasonic,NCR18650PF,2900,10,10,10.44,€2.95,3.54,€2.25,540,4.64,48.0,4.60 Kg,96,18.5mm diameter
Panasonic,NCR18650A,3070,6,,11.16,€3.25,3.43,€2.49,540,4.48,47.5,4.26 Kg,90,
LG,INR18650-F1L,3350,4.8,,12.16,€2.95,4.12,€2.33,600,5.22,49.0,4.03 Kg,82,
LG,INR18650-MH1,3200,10,,11.74,€3.15,3.73,€2.20,600,5.34,49.0,4.17 Kg,85,
LG,INR18650-MG1 (2016),2850,10,,10.32,€1.99,5.19,€1.48,600,6.97,46.0,4.46 Kg,97,
LG,INR18650-MF2,2200,10,,7.92,,#DIV/0!,,500,#DIV/0!,44.0,5.56 Kg,126,
Panasonic,NCR18650BD,3200,10,,11.55,€3.45,3.35,€2.46,540,4.70,49.0,4.24 Kg,87,realistically 3000mAh
Samsung,INR18650-35E,3450,8,10,12.42,€3.25,3.82,€2.54,600,4.89,50.0,4.03 Kg,81,
Sanyo/Panasonic,NCR18650BF,3350,4,7,12.06,€3.45,3.50,€2.83,540,4.26,47.5,3.94 Kg,83,
LG,INR18650-MJ1,3500,10,,12.60,€3.45,3.65,€2.59,600,4.86,49.0,3.89 Kg,79,
LG,INR18650-MJ1 (2018),3500,10,,12.60,€3.15,4.00,€2.39,600,5.27,49.0,3.89 Kg,79,
Samsung,INR18650-25R ,2500,20,,9.10,€3.65,2.49,€2.55,600,3.57,45.0,4.95 Kg,110,
LG,INR18650-M36,3440,5,,12.50,€3.45,3.62,€2.63,600,4.75,49.2,3.94 Kg,80,
Sanyo/Panasonic,NCR18650GA,3350,10,10,12.06,€3.95,3.05,€3.10,540,3.89,48.0,3.98 Kg,83,special anode design for insulation spacers
Sanyo/Panasonic,NCR18650BL,3350,7,,12.06,€3.45,3.50,€2.35,540,5.13,49.0,4.06 Kg,83,
Sony,US18650VTC4,2100,30,20,7.56,€2.75,2.75,€2.01,600,3.76,46.5,6.15 Kg,132,
